636248,119
490819,56
271964,16
59837,332
669801,68
705497,864
430774,275
661099,724
466397,707
720955,796
1337,188
679161,398
406726,37
570383,81
138500,37
164180,828
27238,231
177837,409
581244,688
185549,345
714534,49
226325,605
184665,107
673853,54
240823,73
324635,518
597869,302
711129,748
608984,156
333152,196
605745,156
98938,767
113176,707
340344,275
688014,166
629536,62
609492,156
631507,51
453250,73
3223,202
468206,707
549067,161
125651,1047
267235,44
484277,671
404719,243
89895,303
169175,133
661861,161
59887,295
467545,707
180783,94
603066,40
507539,424
305357,76
194436,760
376611,676
426022,156
230078,398
177690,261
